FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
36043,NY,Herkimer,95.61524512,0.991955858,1.611928269,0.5037275841,0.2123405508,0.01239944822,16.82605124,22.16091384,49504,12.7,0,20.3,0,1,0
36045,NY,Jefferson,85.76344974,4.710528354,5.285255831,1.259582376,0.4301852378,0.2348811398,11.16846914,25.4953583,50179,14.1,0,21.1,0,1,0
36047,NY,Kings,35.66518944,31.90266299,19.8141494,10.38563501,0.1851718769,0.02527248772,11.48373059,23.73050665,51026,22.3,1,31.5,1,1,0
36049,NY,Lewis,96.81766161,0.6276073393,1.317975413,0.2658101672,0.1624395466,0.05906892605,15.04780891,24.74618821,50846,14,0,22.4,0,0,0
36051,NY,Livingston,92.20558775,2.280060557,2.755646629,1.192788219,0.2416160751,0.01682137232,13.74000275,20.21164345,53945,13.2,0,16.4,0,1,0
36053,NY,Madison,93.8373138,1.715639552,1.791890199,0.7842923668,0.6440456415,0.01497780562,13.94161379,21.79270717,58094,12.9,0,18.1,0,1,0
36055,NY,Monroe,72.82036263,14.43526112,7.25538192,3.227405608,0.2134765646,0.02445106026,13.91748976,22.66411767,54204,14.8,0,22,0,1,0
36057,NY,Montgomery,85.09130011,1.417790079,11.25868695,0.7088950397,0.2051016548,0.02190406022,16.58535614,23.49907406,44414,18.4,0,27.9,0,0,0
36059,NY,Nassau,65.49369481,10.54883347,14.5838248,7.581603127,0.1029464022,0.01470662888,15.2800381,23.26036257,101568,6.1,0,8.4,0,1,0
36061,NY,New York,48.01727503,12.9480734,25.44825468,11.20039247,0.1351936757,0.03360924866,13.50379255,14.78270959,75136,17.6,0,24.9,1,1,0
36063,NY,Niagara,87.26746093,6.70350027,2.168439823,0.8347615594,0.9862844102,0.02540779511,15.88587742,21.47651627,48517,15.5,0,23.3,0,1,1
36065,NY,Oneida,84.83297712,5.825151781,4.606221102,2.776760701,0.2124507191,0.02086189426,16.25013837,21.87390901,47390,18,0,29.8,0,1,1
36067,NY,Onondaga,79.23327609,10.42682848,4.03168132,3.076916489,0.7348627271,0.02569450095,14.04161653,22.96553083,57114,14.6,0,20.8,0,1,0
36069,NY,Ontario,91.83552455,2.062428774,3.408659236,1.029361351,0.2260703598,0.01482428589,15.39131482,22.51438419,58085,9.6,0,13.7,0,1,0
36071,NY,Orange,68.20014324,9.091689399,18.02109905,2.329586146,0.2435537387,0.02145847918,10.99344712,27.23322416,71162,12.1,0,20.1,0,1,0
36073,NY,Orleans,87.81568454,5.522001726,4.097194693,0.403423268,0.4640533545,0.01632348483,14.40664133,22.2465779,48126,14.2,0,22.6,0,1,0
