"address","city","latitude","longitude","name","postalCode","county_code","State","County","pct_diabetes","pct_obese","pct_white","pct_black","pct_hisp","pct_asian","pct_other","poverty_rate"
"1120 W 7th St","Auburn",41.366735,-85.069754,"Wendy's","46706",18033,"IN","DeKalb",10,32.8,95.69665822,0.3339412169,2.441797125,0.440518201,0.23920611992,10.5
"111 Touring Dr","Auburn",41.36617,-85.078917,"Arby's","46706",18033,"IN","DeKalb",10,32.8,95.69665822,0.3339412169,2.441797125,0.440518201,0.23920611992,10.5
"1126 W 7th St","Auburn",41.367208,-85.07851,"Taco Bell","46706",18033,"IN","DeKalb",10,32.8,95.69665822,0.3339412169,2.441797125,0.440518201,0.23920611992,10.5
"1105 W 7th St","Auburn",41.36617,-85.07562,"Burger King","46706",18033,"IN","DeKalb",10,32.8,95.69665822,0.3339412169,2.441797125,0.440518201,0.23920611992,10.5
"1801 N Broadway St","Greensburg",39.35524,-85.48443,"Wendy's","47240",18031,"IN","Decatur",14.7,32.7,96.33255633,0.2952602953,1.655011655,0.6915306915,0.1670551671,13
"1918 N Lincoln St","Greensburg",39.35504,-85.4791,"Arby's","47240",18031,"IN","Decatur",14.7,32.7,96.33255633,0.2952602953,1.655011655,0.6915306915,0.1670551671,13
"1903 N Lincoln St","Greensburg",39.354294,-85.479835,"McDonald's","47240",18031,"IN","Decatur",14.7,32.7,96.33255633,0.2952602953,1.655011655,0.6915306915,0.1670551671,13
"1005 N Baldwin Ave","Marion",40.56957,-85.6764,"Arby's","46952",18053,"IN","Grant",14.8,37.3,86.54315525,6.858309188,3.592583606,0.5823496667,0.3311400066,18
"1915 N Lincoln St","Greensburg",39.35539,-85.48033,"Taco Bell","47240",18031,"IN","Decatur",14.7,32.7,96.33255633,0.2952602953,1.655011655,0.6915306915,0.1670551671,13
"2015 N State Road 3 Byp","Greensburg",39.35639,-85.48142,"Burger King","47240",18031,"IN","Decatur",14.7,32.7,96.33255633,0.2952602953,1.655011655,0.6915306915,0.1670551671,13
"223 E Mcgalliard Rd","Muncie",40.219001,-85.385252,"Wendy's","47303",18035,"IN","Delaware",12.5,31.5,88.14491251,6.841957662,1.774438902,0.9586049239,0.26429621567,23
"1725 W Mcgalliard Rd","Muncie",40.21857,-85.40705,"Taco Bell","47304",18035,"IN","Delaware",12.5,31.5,88.14491251,6.841957662,1.774438902,0.9586049239,0.26429621567,23
"3301 N Chadam Ln","Muncie",40.21853,-85.430862,"McDonald's","47304",18035,"IN","Delaware",12.5,31.5,88.14491251,6.841957662,1.774438902,0.9586049239,0.26429621567,23
"601 S Tillotson Ave","Muncie",40.18924,-85.4195,"KFC","47304-4449",18035,"IN","Delaware",12.5,31.5,88.14491251,6.841957662,1.774438902,0.9586049239,0.26429621567,23
"511 W McGalliard Rd","Muncie",40.2184,-85.39187,"Chick-fil-A","47303",18035,"IN","Delaware",12.5,31.5,88.14491251,6.841957662,1.774438902,0.9586049239,0.26429621567,23
"3413 S Main St","Elkhart",41.649018,-85.93835,"Burger King","46517",18039,"IN","Elkhart",10.2,32.8,77.21996973,5.562388957,14.11527696,0.9511082765,0.25005188328,14
"416 N Michigan St","South Bend",41.68069,-86.250378,"McDonald's","46601",18141,"IN","St. Joseph",9.9,30,75.5629732,12.51521929,7.265922654,1.867523817,0.36376441848,16.7
"652 Spruce St","Dowagiac",41.984592,-86.12269,"McDonald's","49047",26027,"MI","Cass",12.2,35.3,87.39984319,5.308549902,3.002313885,0.6387088138,0.92172948583,14.8
"1595 S Memorial Dr","New Castle",39.9171,-85.384,"KFC","47362",18065,"IN","Henry",13.4,36.7,94.88698395,2.151146335,1.397032065,0.3113501274,0.13747927707,14.7
"9229 W County Road 650 S","Knightstown",39.842311,-85.558075,"Burger King","46148",18065,"IN","Henry",13.4,36.7,94.88698395,2.151146335,1.397032065,0.3113501274,0.13747927707,14.7
"1400 North Market Street","Sparta",38.140063,-89.702961,"Taco Bell","62286",17157,"IL","Randolph",10.1,27.7,86.42908352,9.69351177,2.589915163,0.3046959015,0.15533516549,14.3
"1515 E National Hwy","Washington",38.65292,-87.1564,"Taco Bell","47501",18027,"IN","Daviess",12.9,37.6,93.83215369,0.5213599596,4.151921132,0.5087209302,0.21486349848,14.6
"210 E National Hwy","Washington",38.652427,-87.173223,"Wendy's","47501",18027,"IN","Daviess",12.9,37.6,93.83215369,0.5213599596,4.151921132,0.5087209302,0.21486349848,14.6
"1447 E National Hwy","Washington",38.6525,-87.159,"KFC","47501",18027,"IN","Daviess",12.9,37.6,93.83215369,0.5213599596,4.151921132,0.5087209302,0.21486349848,14.6
"129 S Memorial Dr","New Castle",39.9293,-85.3822,"Hardee's","47362",18065,"IN","Henry",13.4,36.7,94.88698395,2.151146335,1.397032065,0.3113501274,0.13747927707,14.7
"1906 N Walnut St","Hartford City",40.46702,-85.36996,"KFC","47348",18009,"IN","Blackford",13.7,36,97.15650948,0.3759987467,0.916496945,0.1488328372,0.20366598779,14.5
"1903 N Walnut St","Hartford City",40.474987,-85.370014,"McDonald's","47348",18009,"IN","Blackford",13.7,36,97.15650948,0.3759987467,0.916496945,0.1488328372,0.20366598779,14.5
"2003 N Walnut St","Hartford City",40.46784,-85.37071,"Burger King","47348",18009,"IN","Blackford",13.7,36,97.15650948,0.3759987467,0.916496945,0.1488328372,0.20366598779,14.5
"450 S US Highway 231","Jasper",38.39,-86.94046,"McDonald's","47546",18037,"IN","Dubois",10.3,29.5,92.60426365,0.2602115114,6.018286424,0.4511924372,0.13368664806,7.6
"762 W 2nd St","Jasper",38.388536,-86.94134,"Hardee's","47546",18037,"IN","Dubois",10.3,29.5,92.60426365,0.2602115114,6.018286424,0.4511924372,0.13368664806,7.6
"4130 N Newton St","Jasper",38.429209,-86.937962,"McDonald's","47546",18037,"IN","Dubois",10.3,29.5,92.60426365,0.2602115114,6.018286424,0.4511924372,0.13368664806,7.6
"3592 Newton St","Jasper",38.42206,-86.93746,"Taco Bell","47546",18037,"IN","Dubois",10.3,29.5,92.60426365,0.2602115114,6.018286424,0.4511924372,0.13368664806,7.6
"3739 Newton St","Jasper",38.4243,-86.9384,"Arby's","47546",18037,"IN","Dubois",10.3,29.5,92.60426365,0.2602115114,6.018286424,0.4511924372,0.13368664806,7.6
"3565 Newton St","Jasper",38.421469,-86.937959,"Wendy's","47546",18037,"IN","Dubois",10.3,29.5,92.60426365,0.2602115114,6.018286424,0.4511924372,0.13368664806,7.6
"1209 N Main St","Huntingburg",38.30632,-86.955407,"Wendy's","47542",18037,"IN","Dubois",10.3,29.5,92.60426365,0.2602115114,6.018286424,0.4511924372,0.13368664806,7.6
"1328 South Heaton","Knox",41.285035,-86.621124,"Taco Bell","46534",18149,"IN","Starke",13.6,36.1,95.07340667,0.2696571502,3.278688525,0.1754911612,0.2610966057,14.8
"806 S Heaton St","Knox",41.28997,-86.620692,"Burger King","46534",18149,"IN","Starke",13.6,36.1,95.07340667,0.2696571502,3.278688525,0.1754911612,0.2610966057,14.8
"1411 S Heaton St","Knox",41.283913,-86.620656,"McDonald's","46534",18149,"IN","Starke",13.6,36.1,95.07340667,0.2696571502,3.278688525,0.1754911612,0.2610966057,14.8
"515 E Alto Rd","Kokomo",40.440727,-86.125661,"McDonald's","46902",18067,"IN","Howard",13.1,31.4,87.11692769,6.749081593,2.662171307,0.8906129157,0.312983372,16.9
"103 Frontage Rd","Huntington",40.899199,-85.510062,"Wendy's","46750",18069,"IN","Huntington",12.7,32.6,96.14265704,0.4175196638,1.699709083,0.4498437668,0.3501777826,10.9
"2702 Guilford St","Huntington",40.89996,-85.50649,"Arby's","46750",18069,"IN","Huntington",12.7,32.6,96.14265704,0.4175196638,1.699709083,0.4498437668,0.3501777826,10.9
"2810 N Jefferson St","Huntington",40.89861,-85.512132,"Taco Bell","46750",18069,"IN","Huntington",12.7,32.6,96.14265704,0.4175196638,1.699709083,0.4498437668,0.3501777826,10.9
"2840 N Jefferson St","Huntington",40.8993,-85.5128,"KFC","46750",18069,"IN","Huntington",12.7,32.6,96.14265704,0.4175196638,1.699709083,0.4498437668,0.3501777826,10.9
"1726 National Rd W","Richmond",39.82504,-84.92668,"SUBWAY","47374",18177,"IN","Wayne",11.5,29.6,88.97949708,4.859468636,2.617641511,0.757432854,0.2669878259,18
"1725 E Main St","Richmond",39.829752,-84.878772,"McDonald's","47374",18177,"IN","Wayne",11.5,29.6,88.97949708,4.859468636,2.617641511,0.757432854,0.2669878259,18
